日期,3月,1年,3年,5年,10年,30年
2023/9/27,5.58,5.49,4.89,4.67,4.61,4.73
2023/9/26,5.58,5.45,4.84,4.62,4.56,4.7
2023/9/25,5.58,5.45,4.83,4.62,4.55,4.67
2023/9/22,5.56,5.46,4.8,4.57,4.44,4.53
2023/9/21,5.57,5.46,4.85,4.61,4.49,4.56
2023/9/20,5.56,5.47,4.82,4.52,4.35,4.4
2023/9/19,5.54,5.45,4.79,4.51,4.37,4.43
2023/9/18,5.55,5.44,4.74,4.46,4.32,4.4
2023/9/15,5.56,5.43,4.72,4.45,4.33,4.42
2023/9/14,5.55,5.42,4.68,4.42,4.29,4.39
2023/9/13,5.55,5.42,4.64,4.39,4.25,4.34
2023/9/12,5.56,5.42,4.66,4.41,4.27,4.35
2023/9/11,5.55,5.4,4.64,4.4,4.29,4.37
2023/9/8,5.55,5.42,4.68,4.39,4.26,4.33
2023/9/7,5.53,5.4,4.66,4.38,4.27,4.36
2023/9/6,5.55,5.44,4.73,4.44,4.3,4.37
2023/9/5,5.55,5.42,4.65,4.37,4.27,4.38
2023/9/1,5.53,5.36,4.57,4.29,4.18,4.29
2023/8/31,5.56,5.37,4.54,4.23,4.09,4.2
2023/8/30,5.56,5.39,4.57,4.27,4.12,4.23
2023/8/29,5.56,5.37,4.56,4.26,4.12,4.23
2023/8/28,5.58,5.44,4.69,4.38,4.2,4.29
2023/8/25,5.61,5.44,4.72,4.44,4.25,4.3
2023/8/24,5.58,5.39,4.69,4.39,4.23,4.3
2023/8/23,5.57,5.35,4.64,4.36,4.19,4.27
2023/8/22,5.57,5.39,4.75,4.49,4.34,4.42
2023/8/21,5.57,5.37,4.7,4.46,4.34,4.45
2023/8/18,5.55,5.35,4.63,4.38,4.26,4.38
2023/8/17,5.56,5.36,4.67,4.42,4.3,4.41
2023/8/16,5.56,5.37,4.68,4.42,4.28,4.38
2023/8/15,5.56,5.36,4.64,4.36,4.21,4.32
2023/8/14,5.56,5.37,4.64,4.36,4.19,4.29
2023/8/11,5.54,5.36,4.56,4.31,4.16,4.27
2023/8/10,5.54,5.33,4.47,4.21,4.09,4.24
2023/8/9,5.55,5.35,4.41,4.12,4,4.18
2023/8/8,5.57,5.35,4.36,4.1,4.02,4.2
2023/8/7,5.56,5.3,4.44,4.16,4.09,4.27
2023/8/4,5.54,5.33,4.45,4.15,4.05,4.21
2023/8/3,5.54,5.37,4.58,4.3,4.2,4.32
2023/8/2,5.53,5.36,4.54,4.24,4.08,4.17
2023/8/1,5.54,5.38,4.57,4.24,4.05,4.11
2023/7/31,5.55,5.37,4.51,4.18,3.97,4.02
2023/7/28,5.52,5.37,4.52,4.18,3.96,4.03
2023/7/27,5.51,5.4,4.58,4.24,4.01,4.06
2023/7/26,5.51,5.37,4.47,4.09,3.86,3.94
2023/7/25,5.51,5.38,4.53,4.15,3.91,3.95
2023/7/24,5.51,5.38,4.48,4.13,3.86,3.92
2023/7/21,5.5,5.35,4.44,4.09,3.84,3.91
2023/7/20,5.49,5.35,4.43,4.08,3.85,3.91
2023/7/19,5.49,5.32,4.34,3.98,3.75,3.84
2023/7/18,5.49,5.32,4.35,4,3.8,3.91
2023/7/17,5.49,5.33,4.34,4.02,3.81,3.94
2023/7/14,5.49,5.34,4.35,4.04,3.83,3.93
2023/7/13,5.47,5.27,4.21,3.93,3.76,3.9
2023/7/12,5.47,5.35,4.36,4.07,3.86,3.96
2023/7/11,5.49,5.44,4.52,4.24,3.99,4.03
2023/7/10,5.48,5.38,4.54,4.25,4.01,4.05
2023/7/7,5.46,5.41,4.64,4.35,4.06,4.05
2023/7/6,5.46,5.44,4.68,4.37,4.05,4.01
2023/7/5,5.44,5.4,4.59,4.25,3.95,3.95
2023/7/3,5.44,5.43,4.56,4.19,3.86,3.87
