date,future_10,future_2,future_9,index_10,index_2,index_9
2023/11/23,17294.0,17302.0,17287.0,17287.42,17287.42,17304.65
2023/11/24,17294.0,17302.0,17287.0,17287.42,17287.42,17304.65
2023/11/25,17294.0,17302.0,17287.0,17287.42,17287.42,17304.65
2023/11/26,17294.0,17302.0,17287.0,17287.42,17287.42,17304.65
2023/11/28,17283.0,17255.0,17180.0,17253.31,17253.31,17150.3
2023/11/29,17398.0,17408.0,17384.0,17393.71,17393.71,17352.11
2023/11/30,17295.0,17299.0,17350.0,17319.37,17319.37,17389.2
2023/12/01,17378.0,17378.0,17394.0,17414.7,17414.7,17422.35
2023/12/02,17493.0,17414.0,17426.0,17438.35,17438.35,17422.35
2023/12/03,17493.0,17414.0,17426.0,17438.35,17438.35,17422.35
2023/12/04,17431.0,17432.0,17426.0,17436.11,17436.11,17450.64
2023/12/05,17293.0,17289.0,17405.0,17301.11,17301.11,17401.59
2023/12/06,17438.0,17432.0,17280.0,17413.22,17413.22,17340.82
2023/12/07,17323.0,17319.0,17370.0,17340.99,17340.99,17356.92
2023/12/08,17397.0,17397.0,17274.0,17419.58,17419.58,17309.36
2023/12/09,17422.0,17390.0,17370.0,17383.99,17383.99,17309.36
2023/12/10,17422.0,17390.0,17370.0,17383.99,17383.99,17309.36
2023/12/11,17386.0,17380.0,17370.0,17403.23,17403.23,17416.96
2023/12/12,17487.0,17493.0,17422.0,17478.69,17478.69,17429.61
2023/12/13,17499.0,17500.0,17465.0,17493.14,17493.14,17447.51
2023/12/14,17676.0,17664.0,17445.0,17641.38,17641.38,17482.38
2023/12/15,17739.0,17738.0,17670.0,17719.91,17719.91,17693.33
2023/12/16,17639.0,17705.0,17685.0,17673.87,17673.87,17693.33
2023/12/17,17639.0,17705.0,17685.0,17673.87,17673.87,17693.33
2023/12/18,17650.0,17637.0,17685.0,17644.71,17644.71,17637.86
2023/12/19,17549.0,17556.0,17649.0,17560.31,17560.31,17669.84
2023/12/20,17643.0,17651.0,17564.0,17629.97,17629.97,17608.35
2023/12/21,17491.0,17482.0,17664.0,17517.08,17517.08,17531.45
2023/12/22,17563.0,17578.0,17524.0,17590.7,17590.7,17586.16
2023/12/23,17608.0,17613.0,17555.0,17596.63,17596.63,17586.16
