SP500_收盤價,SP500_最低價,SP500_最高價,SP500_開盤價,date,dji_收盤價,dji_最低價,dji_最高價,dji_開盤價,nasdaq_收盤價,nasdaq_最低價,nasdaq_最高價,nasdaq_開盤價,台積_收盤價,台積_最低價,台積_最高價,台積_開盤價,外資,大盤_成交量,大盤_收盤價,大盤_最低價,大盤_最高價,大盤_開盤價,投信,日圓_收盤價,日圓_最低價,日圓_最高價,日圓_開盤價,美元_收盤價,美元_最低價,美元_最高價,美元_開盤價,自營商,費半_收盤價,費半_最低價,費半_最高價,費半_開盤價
,,,,2023/11/08,,,,,,,,,556.0,550.0,557.0,550.0,5468.0,274400000000.0,16740.83,16665.4,16775.23,16691.32,5541.0,150.97,150.33,151.05,150.34,32.222,32.089,32.292,32.176,-2347.0,3472.67,3450.59,3491.96,3473.87
,,,,2023/11/09,,,,,,,,,557.0,551.0,557.0,551.0,5085.0,245200000000.0,16745.65,16680.91,16759.43,16741.16,5419.0,151.34,150.76,151.38,150.95,32.326,32.145,32.357,32.222,-2268.0,3452.34,3448.05,3534.44,3499.66
,,,,2023/11/11,,,,,,,,,557.0,554.0,557.0,555.0,8721.0,230984000000.0,16682.67,16651.23,16725.94,16725.94,4814.0,151.51,151.22,151.62,-1.0,32.352,32.268,32.403,-1.0,-1577.0,3591.74,3487.17,3600.4,3496.74
,,,,2023/11/24,,,,,,,,,575.0,574.0,578.0,577.0,-4240.0,249641000000.0,17287.42,17268.38,17336.13,17304.65,7701.0,149.58,149.19,149.72,-1.0,31.647,31.473,31.691,-1.0,-1457.0,3744.96,3736.3,3804.9,3762.66
,,,,2023/11/25,,,,,,,,,575.0,574.0,578.0,577.0,-4240.0,249641000000.0,17287.42,17268.38,17336.13,17304.65,7701.0,149.38,149.19,149.72,-1.0,31.647,31.473,31.691,-1.0,-1457.0,3747.92,3734.18,3750.38,3739.59
,,,,2023/11/26,,,,,,,,,575.0,574.0,578.0,577.0,-4240.0,249641000000.0,17287.42,17268.38,17336.13,17304.65,7701.0,149.43,149.19,149.72,-1.0,31.645,31.473,31.691,-1.0,-1457.0,3747.92,3734.18,3750.38,3739.59
,,,,2023/11/28,,,,,,,,,568.0,568.0,577.0,573.0,-1356.0,274349000000.0,17137.42,17133.76,17351.93,17291.23,7176.0,148.67,148.55,149.68,-1.0,31.517,31.517,31.67,-1.0,-2978.0,3739.31,3723.01,3771.68,3734.53
,,,,2023/11/29,,,,,,,,,575.0,565.0,576.0,565.0,-149.0,294169000000.0,17341.25,17145.2,17360.38,17150.3,7536.0,147.45,147.32,148.84,-1.0,31.291,31.127,31.54,-1.0,-2906.0,3718.35,3688.62,3735.61,3713.26
,,,,2023/11/30,,,,,,,,,574.0,570.0,579.0,578.0,-4478.0,322322000000.0,17370.56,17323.27,17441.79,17352.11,7730.0,147.21,146.68,147.91,-1.0,31.244,30.955,31.358,-1.0,-1810.0,3753.36,3747.51,3809.71,3769.62
,,,,2023/12/05,,,,,,,,,574.0,571.0,582.0,582.0,-4353.0,324667000000.0,17421.48,17398.1,17516.61,17450.64,8493.0,147.21,146.23,147.49,-1.0,31.441,31.259,31.466,-1.0,-1674.0,3693.44,3638.73,3701.69,3699.63
,,,,2023/12/07,,,,,,,,,570.0,568.0,575.0,568.0,-6349.0,296488000000.0,17360.72,17337.47,17439.85,17340.82,7664.0,147.34,146.9,147.52,-1.0,31.493,31.403,31.542,-1.0,-1571.0,3645.82,3642.07,3727.43,3726.19
,,,,2023/12/08,,,,,,,,,566.0,566.0,573.0,570.0,-7320.0,299411000000.0,17278.74,17273.71,17387.94,17356.92,7423.0,144.13,144.04,147.32,-1.0,31.405,31.368,31.659,-1.0,-869.0,3747.54,3669.39,3756.84,3674.48
,,,,2023/12/09,,,,,,,,,570.0,570.0,577.0,574.0,-5568.0,306839000000.0,17383.99,17309.36,17465.35,17309.36,7904.0,144.96,142.5,145.21,-1.0,31.477,31.265,31.566,-1.0,-2308.0,3774.17,3740.55,3791.6,3745.02
,,,,2023/12/12,,,,,,,,,574.0,570.0,575.0,572.0,-7881.0,287255000000.0,17418.34,17372.82,17451.82,17416.96,8619.0,146.19,144.81,146.59,-1.0,31.51,31.424,31.546,-1.0,-1227.0,3902.38,3809.31,3917.44,3812.54
,,,,2023/12/13,,,,,,,,,578.0,575.0,581.0,580.0,-9496.0,312520000000.0,17450.63,17404.88,17528.72,17429.61,8241.0,145.48,144.74,146.19,-1.0,31.523,31.362,31.532,-1.0,-534.0,3930.18,3880.81,3931.01,3882.51
,,,,2023/12/14,,,,,,,,,577.0,576.0,579.0,576.0,-10159.0,315137000000.0,17468.93,17438.69,17507.92,17447.51,8528.0,142.94,142.64,146.19,-1.0,31.228,31.11,31.569,-1.0,-1134.0,3990.95,3917.97,4011.72,3932.23
,,,,2023/12/15,,,,,,,,,582.0,579.0,582.0,581.0,-9355.0,383771000000.0,17653.11,17482.38,17668.35,17482.38,8802.0,141.94,140.97,142.91,-1.0,31.255,25.799,31.455,-1.0,-584.0,4097.47,4034.44,4113.95,4034.44
4719.19,4704.69,4725.53,4714.23,2023/12/16,37305.16,37092.02,37347.6,37194.5,14813.92,14753.16,14848.4,14797.46,585.0,580.0,586.0,585.0,-8253.0,440062000000.0,17673.87,17642.79,17743.54,17693.33,7616.0,142.18,141.44,142.47,-1.0,31.378,30.955,31.427,-1.0,-1657.0,4117.0,4107.0,4161.92,4121.22
